Week;Treatment;Day;Container;Tr. nb;DO;Chlorophyll a
1;Constant;1;1;1;100;13704
1;Curve 2;1;2;4;100;11718
1;Curve;1;3;3;100;13666
1;Block;1;4;2;100;15366
1;Curve;1;5;3;100;13254
1;Curve 2;1;6;4;100;11218
1;Constant;1;7;1;100;18736
1;Block;1;8;2;100;18584
1;Curve;1;9;3;100;18210
1;Block;1;10;2;100;16208
1;Constant;1;11;1;100;17390
1;Curve 2;1;12;4;100;11196
1;Constant;1;13;1;100;17382
1;Block;1;14;2;100;16534
1;Curve;1;15;3;100;16326
1;Curve 2;1;16;4;100;13808
1;Constant;1;17;1;100;14514
1;Curve 2;1;18;4;100;16212
1;Curve;1;19;3;100;12658
1;Block;1;20;2;100;15838
2;Constant;8;1;1;100;1568
2;Curve 2;8;2;4;91,8;670,3
2;Curve;8;3;3;100;2362
2;Block;8;4;2;91,8;7740
2;Curve;8;5;3;82,7;6088
2;Curve 2;8;6;4;56,6;4221
2;Constant;8;7;1;100;3800
2;Block;8;8;2;94,8;18074
2;Curve;8;9;3;100;4577
2;Block;8;10;2;75,3;6472
2;Constant;8;11;1;100;9387
2;Curve 2;8;12;4;73,1;7884
2;Constant;8;13;1;100;16716
2;Block;8;14;2;91,8;18218
2;Curve;8;15;3;84,2;16486
2;Curve 2;8;16;4;73,3;6564
2;Constant;8;17;1;100;11858
2;Curve 2;8;18;4;88,6;5763
2;Curve;8;19;3;100;6915
2;Block;8;20;2;76;4852
3;Constant;15;1;1;100;5696
3;Curve 2;15;2;4;100;1594
3;Curve;15;3;3;100;2530
3;Block;15;4;2;100;2229
3;Curve;15;5;3;100;1467
3;Curve 2;15;6;4;100;2914
3;Constant;15;7;1;100;760,2
3;Block;15;8;2;100;735,5
3;Curve;15;9;3;100;2269
3;Block;15;10;2;100;987,1
3;Constant;15;11;1;100;987,6
3;Curve 2;15;12;4;100;642,1
3;Constant;15;13;1;100;1698
3;Block;15;14;2;100;2092
3;Curve;15;15;3;95,2;1060
3;Curve 2;15;16;4;100;2311
3;Constant;15;17;1;100;3178
3;Curve 2;15;18;4;100;919,8
3;Curve;15;19;3;100;5294
3;Block;15;20;2;100;2354
4;Constant;22;1;1;100;3485
4;Curve 2;22;2;4;100;545
4;Curve;22;3;3;100;1770
4;Block;22;4;2;100;537,9
4;Curve;22;5;3;82,5;717,8
4;Curve 2;22;6;4;92,3;368,6
4;Constant;22;7;1;100;2823
4;Block;22;8;2;95,4;632,8
4;Curve;22;9;3;100;3786
4;Block;22;10;2;100;597,4
4;Constant;22;11;1;100;635,1
4;Curve 2;22;12;4;92,9;504,7
4;Constant;22;13;1;83,1;611,9
4;Block;22;14;2;100;448,8
4;Curve;22;15;3;95;496,8
4;Curve 2;22;16;4;90,5;435,9
4;Constant;22;17;1;100;591,9
4;Curve 2;22;18;4;86,4;471,8
4;Curve;22;19;3;100;2210
4;Block;22;20;2;100;419,7
5;Constant;29;1;1;100;4467
5;Curve 2;29;2;4;100;389,6
5;Curve;29;3;3;100;326,5
5;Block;29;4;2;100;291,6
5;Curve;29;5;3;100;309,1
5;Curve 2;29;6;4;100;232,1
5;Constant;29;7;1;100;256,1
5;Block;29;8;2;100;241
5;Curve;29;9;3;100;288,8
5;Block;29;10;2;100;420,4
5;Constant;29;11;1;100;317,5
5;Curve 2;29;12;4;100;318
5;Constant;29;13;1;100;315,8
5;Block;29;14;2;100;403,9
5;Curve;29;15;3;100;334
5;Curve 2;29;16;4;100;260,7
5;Constant;29;17;1;100;286
5;Curve 2;29;18;4;100;266
5;Curve;29;19;3;100;260,3
5;Block;29;20;2;100;304,1
